User ID,Age,Daily Work Hours,Daily Leisure Hours,Daily Exercise Minutes,Daily Sleep Hours,Screen Time (hours),Commute Time (hours),Productivity Score
75,44,5.99,4.55,81,8.32,4.9,1.9,15
76,48,5.69,1.08,70,5.21,1.38,1.78,10
77,34,7.33,1.69,56,7.32,4.13,0.71,19
78,20,8.38,4.64,94,9.0,3.54,0.49,24
79,44,7.2,4.76,31,8.14,2.55,1.26,15
80,26,9.59,2.68,49,5.48,4.78,0.09,23
81,28,9.71,2.19,108,7.72,1.26,0.99,23
82,43,6.17,1.77,74,7.98,3.49,1.35,12
83,20,8.67,2.74,9,7.06,3.53,0.81,17
84,27,8.43,4.71,21,5.32,1.43,1.94,14
85,43,9.36,1.17,94,5.14,1.68,1.44,16
86,30,6.69,2.39,40,8.75,3.05,1.87,20
87,36,7.18,4.6,46,6.03,3.68,1.82,15
88,27,6.49,2.07,13,6.52,1.27,0.26,16
89,54,9.1,3.96,2,8.18,1.06,1.34,23
90,54,5.38,2.25,87,7.76,1.96,1.19,12
91,52,5.44,4.12,77,8.87,3.44,0.11,17
92,24,6.24,4.91,52,5.37,1.2,0.64,17
93,58,5.38,2.25,15,7.83,4.67,1.07,10
94,47,7.37,4.3,118,5.33,1.76,1.1,17
95,26,4.81,4.95,60,5.0,4.86,1.63,12
96,28,5.92,4.93,27,5.48,2.02,1.18,11
97,27,9.48,2.45,34,7.47,2.73,0.93,22
98,31,6.46,2.69,103,7.7,3.4,1.5,17
99,53,8.49,1.87,1,6.75,2.74,1.14,16
100,52,4.68,1.91,60,5.18,1.12,1.77,10
101,42,5.49,2.72,55,7.54,5.54,1.81,16
102,43,8.84,1.4,97,5.34,2.43,1.21,17
103,56,8.58,3.7,54,5.57,1.68,1.13,15
104,54,6.32,2.91,17,7.05,1.66,1.4,11
105,59,9.73,4.54,70,6.36,5.87,1.45,17
106,41,9.46,4.15,48,6.86,1.62,1.45,18
107,46,9.77,1.95,101,7.54,2.73,1.24,19
108,54,6.57,2.78,41,5.64,1.34,1.53,12
109,20,5.18,3.88,6,8.57,4.68,0.29,17
110,54,7.76,1.37,3,7.24,3.98,1.64,13
111,56,8.11,0.64,42,5.09,3.67,0.62,12
112,33,4.75,4.34,79,7.51,5.28,1.77,13
113,22,8.72,1.12,58,6.85,3.87,0.26,19
114,20,4.11,4.5,48,7.81,5.78,0.01,15
115,24,6.9,4.61,59,8.14,4.11,0.03,19
116,45,5.99,2.57,5,8.76,2.77,0.42,16
117,33,8.44,4.13,19,8.99,1.18,0.23,21
118,58,5.88,2.13,30,7.2,4.63,1.11,9
119,46,8.96,4.36,82,7.25,2.87,0.9,16
120,28,7.57,4.21,115,5.09,4.0,1.21,12
121,34,8.76,0.85,21,8.46,5.38,0.39,16
122,34,9.94,3.12,84,5.11,1.04,1.51,18
123,45,8.07,3.38,81,7.53,4.8,1.22,18
124,32,9.91,0.5,31,5.39,3.18,0.44,13
125,51,4.17,4.91,46,6.14,1.62,0.8,9
126,58,6.03,2.33,33,5.56,3.91,1.44,10
127,51,4.65,2.83,114,5.55,3.66,1.36,9
128,23,5.57,1.38,26,5.3,5.21,1.12,10
129,49,9.03,3.25,101,6.27,3.61,1.96,15
130,56,4.19,4.15,43,6.69,5.14,0.26,10
131,42,7.12,3.14,29,6.86,3.72,0.98,13
132,58,7.4,4.05,32,6.76,3.23,1.25,18
133,34,7.37,3.79,26,7.09,2.86,1.99,18
134,48,6.85,1.57,118,8.44,1.87,1.09,15
135,55,8.74,2.46,55,7.53,3.92,0.88,16
136,32,4.8,1.17,22,5.07,3.72,1.84,13
137,51,5.86,0.69,42,5.69,5.88,1.01,8
138,26,7.69,0.78,82,6.4,3.06,1.88,16
139,41,8.15,4.74,53,8.8,3.11,1.5,22
140,47,6.42,4.93,94,5.31,1.82,0.34,13
141,21,9.25,0.93,67,7.84,3.99,0.33,17
142,25,6.49,2.01,52,5.13,5.24,0.64,12
143,47,6.42,1.01,82,6.45,2.24,0.14,14
144,47,4.22,4.25,116,8.08,1.05,1.09,14
145,39,7.31,2.73,101,6.38,4.46,1.72,16
146,49,8.25,3.3,39,6.72,1.16,0.8,18
147,30,4.69,2.93,59,8.62,3.05,1.3,9
148,47,5.83,3.7,85,5.26,4.06,1.96,12
149,44,8.69,1.94,8,7.11,2.93,0.39,16
150,58,6.2,1.12,94,6.46,2.3,0.72,16
151,52,5.45,0.58,9,8.86,5.0,0.05,15
152,20,8.03,2.51,9,8.17,2.5,0.46,21
153,46,5.18,4.59,29,5.49,1.9,1.56,13
154,32,9.37,1.87,9,8.71,2.94,1.31,20
155,22,4.63,1.38,57,5.84,1.66,1.57,10
156,58,8.24,4.67,35,5.34,4.45,0.85,15
157,25,7.0,0.97,81,7.17,4.55,1.47,17
158,27,9.22,0.73,43,7.95,1.07,1.2,19
159,46,4.76,4.46,56,7.86,4.47,0.66,14
160,28,8.07,3.65,42,7.14,2.49,0.82,18
161,56,7.43,2.4,111,6.97,4.28,1.08,15
162,52,6.88,3.89,82,8.88,4.53,1.91,19
163,43,6.95,3.84,106,8.28,2.39,1.86,16
164,34,8.33,0.68,22,7.79,1.93,1.97,15
165,51,9.63,3.54,3,5.78,5.13,0.03,19
166,51,4.55,3.38,11,8.28,4.7,1.43,11
167,43,4.12,4.84,48,8.0,5.19,1.79,11
168,31,8.83,4.85,23,8.97,3.18,1.48,20
169,58,4.65,2.2,12,5.53,3.28,0.83,8
170,21,9.92,3.15,67,7.86,2.72,1.45,20
171,22,7.72,1.14,90,8.92,3.5,0.89,22
172,56,7.91,0.8,101,6.85,4.23,1.43,18
173,36,5.19,2.45,102,7.93,5.07,1.56,11
174,21,5.44,3.6,71,8.9,1.92,1.69,15
175,21,7.96,3.05,89,7.19,3.03,1.46,18
176,47,9.46,2.43,33,7.8,3.31,0.32,15
177,42,9.89,4.18,8,5.08,3.44,1.87,16
178,56,5.19,4.07,9,7.08,3.71,0.43,13
179,51,4.8,3.79,114,6.02,5.01,0.72,11
180,52,4.34,0.85,64,5.52,5.43,0.86,11
181,20,9.21,4.08,111,7.83,1.8,1.42,23
182,38,5.77,4.64,113,5.16,4.56,1.4,16
183,21,4.01,0.77,71,8.62,3.4,1.92,14
184,45,5.34,2.31,73,7.07,3.09,0.38,13
185,51,6.04,4.95,53,7.59,1.57,0.9,13
186,25,9.95,3.2,42,6.01,1.32,0.41,18
187,51,7.14,2.81,112,5.73,5.89,1.35,15
188,23,5.23,1.3,58,5.98,4.21,0.43,14
189,30,6.01,3.04,88,5.93,3.26,1.74,14
190,36,5.98,2.48,94,8.46,4.81,1.97,16
191,57,4.12,1.07,102,8.15,1.46,0.63,13
192,43,4.81,2.59,58,8.41,4.04,1.48,12
193,24,8.17,1.24,66,7.94,4.3,1.07,19
194,53,4.72,3.79,60,7.57,3.26,0.72,14
195,25,5.38,4.88,102,7.11,2.26,0.38,14
196,41,6.1,2.61,37,6.06,5.77,1.44,13
197,30,8.55,3.35,98,7.82,2.51,0.32,21
198,35,7.49,2.44,7,5.55,1.62,0.56,16
199,52,8.13,1.12,64,7.04,4.15,1.84,16
200,28,7.4,4.87,4,5.78,3.87,1.02,17
201,25,8.1,1.08,119,7.02,4.77,1.71,22
202,35,4.02,1.0,114,6.18,4.77,1.54,10
203,48,9.59,2.57,90,5.21,4.1,0.75,21
204,22,4.67,3.46,108,7.01,2.04,0.44,11
205,39,6.44,2.1,89,5.73,5.44,0.2,14
206,55,8.63,1.37,42,5.64,2.24,1.92,12
207,38,6.61,4.19,59,6.54,1.47,0.65,15
208,45,9.68,2.13,117,6.45,2.51,1.35,23
209,22,6.81,1.37,25,8.47,3.42,1.46,18
210,38,9.25,2.14,10,7.26,2.04,0.4,19
211,39,8.86,1.47,33,8.42,2.67,1.39,21
212,51,9.89,2.84,104,5.59,3.57,0.02,20
213,26,9.56,3.51,1,6.43,2.61,0.84,19
214,52,9.39,4.1,20,7.22,1.45,0.7,16
215,59,8.39,1.52,114,5.61,1.99,1.87,16
216,58,6.2,1.25,25,5.51,4.97,1.97,8
217,37,4.64,0.59,75,7.65,5.77,0.58,12
218,59,8.13,1.53,72,7.62,1.74,1.22,17
219,20,9.87,0.61,104,5.94,4.41,1.49,18
220,30,8.36,2.05,86,5.91,5.53,0.38,18
221,47,9.57,1.16,105,7.98,2.5,1.37,24
222,44,8.83,3.11,4,5.47,5.15,0.52,16
223,42,4.98,2.23,8,8.69,5.52,0.34,13
224,50,5.5,0.92,118,8.77,2.5,1.7,14
225,49,6.05,2.3,49,8.48,1.28,1.0,15
226,54,5.01,1.44,9,5.84,5.58,0.59,12
227,26,7.49,3.56,112,5.07,2.65,0.81,10
228,35,9.85,2.14,57,8.75,1.07,0.83,22
229,45,8.57,1.16,9,6.38,3.37,1.54,11
230,21,6.54,2.07,77,6.24,1.58,1.77,14
231,20,4.03,1.51,35,6.05,5.51,0.95,10
232,31,5.88,4.08,73,5.98,1.77,0.65,17
233,24,7.16,4.93,55,7.94,2.52,1.45,20
234,56,5.95,0.61,117,8.63,4.95,1.81,17
235,51,4.67,3.61,61,8.14,5.03,0.23,13
236,28,6.66,1.69,113,7.7,5.51,1.59,14
237,54,5.52,0.8,36,6.15,3.49,1.11,9
238,38,9.46,0.56,40,7.19,5.93,1.74,19
239,35,4.61,4.46,101,5.95,3.58,1.03,15
240,22,4.29,2.09,47,5.45,4.95,1.73,11
241,39,4.03,4.98,21,5.48,2.81,1.11,9
242,43,5.97,2.49,86,7.42,5.71,0.29,12
243,52,7.96,1.34,79,5.15,4.43,0.01,14
244,43,8.38,4.0,60,8.89,1.39,1.24,22
245,30,6.72,4.67,74,8.98,1.54,1.18,16
246,27,8.11,4.17,116,5.6,5.45,0.42,22
247,55,6.16,3.85,110,6.71,5.05,1.7,13
248,57,8.01,2.01,114,8.07,2.65,1.74,19
249,59,4.24,0.79,98,8.82,3.61,1.61,10
250,39,6.34,1.41,47,8.57,5.26,1.87,14
251,54,8.75,2.51,63,6.02,1.52,1.01,20
252,44,8.82,4.8,116,5.34,1.69,1.4,16
253,54,8.3,3.75,83,6.15,4.58,1.81,17
254,44,5.23,4.23,36,6.75,1.41,0.91,12
255,48,5.48,1.75,40,6.44,2.76,1.24,10
256,37,9.98,3.58,4,8.1,2.26,1.03,21
257,37,4.62,4.38,99,6.03,4.8,1.97,10
258,21,5.08,2.66,76,8.43,1.01,0.88,16
259,54,4.78,2.43,51,5.9,1.58,0.63,10
260,35,5.97,3.74,16,6.45,1.5,1.26,12
261,55,5.26,3.02,89,6.79,2.59,0.56,13
262,52,6.99,4.97,115,6.16,2.16,1.72,19
263,23,6.86,2.41,107,8.07,2.14,1.78,16
264,52,9.41,1.29,61,6.64,2.85,0.69,16
265,33,4.21,2.62,51,8.55,2.07,0.72,12
266,40,5.92,1.56,19,8.85,1.53,0.17,14
267,39,7.58,3.03,102,8.44,3.92,0.51,17
268,27,7.63,1.07,96,7.09,5.76,0.14,14
269,26,6.88,4.77,93,7.04,4.04,1.51,19
270,22,8.89,4.37,15,5.86,4.79,0.36,19
271,36,4.38,1.2,6,7.37,5.86,0.16,11
272,52,8.89,1.28,93,8.81,1.77,0.33,25
273,31,6.97,2.81,65,5.32,3.3,0.75,16
274,41,4.8,3.98,11,8.01,3.91,0.84,20
275,41,9.31,1.49,42,8.48,2.61,1.8,22
276,49,7.9,0.77,39,8.95,4.07,0.56,15
277,57,4.98,2.95,0,6.34,4.12,1.44,7
278,57,4.2,3.61,57,6.42,5.21,1.79,8
279,27,4.85,1.6,2,5.92,5.16,1.71,9
280,46,7.65,3.83,7,8.16,1.71,0.4,20
281,46,5.08,4.78,89,5.56,1.84,0.56,12
282,53,5.35,1.12,103,6.07,2.11,0.11,12
283,40,4.15,2.8,74,6.18,2.31,0.97,9
284,49,8.34,0.76,60,6.5,3.82,0.81,17
285,52,8.86,1.43,84,6.69,2.64,1.09,20
286,47,8.78,0.9,4,7.24,5.76,0.92,18
287,52,4.77,2.32,103,8.79,1.59,1.47,14
288,24,9.42,4.19,25,5.99,2.23,1.34,21
289,38,8.03,3.1,84,8.12,5.34,0.86,20
290,23,9.39,1.5,72,7.71,3.92,0.08,22
291,54,6.68,0.68,16,5.46,3.74,0.69,10
292,36,6.62,2.99,100,8.24,3.97,0.65,17
293,47,8.71,1.1,114,5.36,2.26,0.18,18
294,49,4.56,2.04,114,7.96,4.81,0.61,12
295,48,7.13,2.8,65,7.86,3.48,1.97,20
296,25,9.02,4.57,50,7.76,1.21,1.64,22
297,54,8.98,0.87,118,6.11,1.89,1.6,18
298,56,9.74,3.51,46,7.29,5.08,1.69,21
299,43,8.19,0.56,39,8.05,2.73,1.73,17
300,48,5.25,3.33,91,7.55,4.87,0.65,15
301,50,4.12,2.98,119,8.22,4.32,0.64,12
302,54,6.88,4.15,26,7.75,2.51,0.67,15
303,52,7.08,2.89,39,6.1,1.64,1.64,14
304,40,5.44,2.09,0,5.61,5.03,1.59,8
305,51,4.75,1.59,45,7.53,4.22,0.03,15
306,42,7.52,0.88,10,8.04,2.5,1.9,13
307,52,8.59,2.91,38,5.57,3.62,0.57,14
308,22,9.96,4.5,17,5.7,4.06,1.25,20
309,37,8.55,2.82,90,5.05,1.01,1.28,18
310,44,8.76,3.83,46,7.13,4.35,0.23,17
311,50,7.7,1.84,73,7.17,4.28,1.39,15
312,22,9.92,2.52,99,7.0,1.41,1.07,21
313,59,7.84,1.96,20,6.26,4.94,1.22,14
314,43,9.16,0.99,27,6.71,5.13,0.89,18
315,51,9.67,2.38,0,8.06,2.45,1.61,18
316,41,9.58,3.94,13,5.73,1.81,1.27,17
317,42,6.29,2.28,19,5.81,4.43,0.39,13
318,21,4.47,3.43,115,7.67,1.62,1.51,17
319,46,5.03,3.91,72,8.47,5.29,1.01,16
320,21,4.36,1.95,44,6.36,3.4,0.07,13
321,45,4.63,4.09,60,8.73,5.55,0.79,10
322,36,5.11,2.03,26,5.23,4.21,0.8,9
323,59,6.05,1.65,112,5.47,2.43,1.6,10
324,52,7.26,1.5,55,6.84,3.34,0.47,17
325,28,8.27,1.4,51,7.89,3.65,0.91,16
326,58,5.27,3.82,67,6.48,5.08,0.11,9
327,48,8.04,4.49,36,7.22,5.31,1.76,17
328,45,8.23,1.54,81,5.11,4.42,0.89,16
329,54,7.35,0.88,30,6.85,2.47,1.71,12
330,44,9.42,1.91,48,5.97,3.64,1.35,16
331,43,4.67,3.46,52,7.07,1.65,0.64,16
332,32,5.06,2.16,38,7.1,2.15,1.43,10
333,26,6.57,2.97,9,8.01,2.52,0.94,14
334,55,4.76,3.85,8,7.16,1.36,0.68,13
335,39,7.4,2.34,91,7.46,5.42,1.34,17
336,20,6.39,5.0,91,7.12,1.61,1.55,17
337,27,5.71,1.84,12,8.96,4.48,1.38,12
338,35,5.02,4.9,17,8.17,3.53,0.93,12
339,33,6.01,1.41,11,8.02,5.16,0.52,14
340,31,7.65,1.0,71,7.51,4.71,1.62,20
341,42,7.45,3.88,86,7.11,4.8,0.69,16
342,34,4.98,3.66,113,6.38,3.09,1.23,10
343,47,4.75,4.15,4,8.14,5.17,0.23,12
344,53,4.16,2.05,6,5.76,1.47,1.48,7
345,21,4.07,4.69,14,5.15,3.22,1.91,11
346,51,9.28,1.04,66,7.79,5.97,0.9,13
347,42,4.27,0.64,17,5.58,5.74,1.1,7
348,41,8.39,1.85,37,8.62,1.41,1.8,21
349,44,9.23,4.09,25,8.08,3.86,1.59,21
350,41,4.59,3.53,37,7.41,2.58,1.92,12
351,41,6.62,2.46,58,6.26,4.64,0.53,13
352,25,9.77,1.65,51,7.55,4.68,0.94,22
353,34,9.0,0.77,32,6.91,1.0,0.91,19
354,56,6.94,2.02,20,6.16,5.23,0.95,10
355,52,8.58,2.57,16,8.78,2.12,1.83,20
356,27,9.0,3.59,106,5.65,5.83,0.41,23
357,24,6.09,3.41,61,8.01,5.53,1.79,15
358,58,9.35,4.76,58,8.2,1.95,1.14,18
359,23,6.82,0.95,119,8.81,4.18,1.07,19
360,25,7.17,2.01,1,7.2,2.48,0.83,18
361,51,10.0,2.67,63,7.14,1.51,1.08,20
362,49,9.06,3.52,24,8.68,5.37,1.61,17
363,54,6.17,2.73,40,8.2,1.9,0.98,16
364,59,4.06,4.61,18,8.05,3.1,1.55,5
365,35,7.76,3.24,37,8.16,5.62,0.83,18
366,32,8.22,0.68,24,6.97,1.38,0.37,11
367,49,7.9,1.01,38,5.17,3.75,0.83,13
368,38,9.81,3.89,3,5.79,3.86,1.45,20
369,36,9.18,3.72,2,7.57,4.82,1.7,23
370,38,6.69,1.19,33,6.58,5.14,1.54,15
371,47,4.38,0.77,105,7.43,3.12,0.75,12
372,45,6.86,3.1,9,7.21,4.72,1.16,15
373,56,8.14,3.36,112,6.75,5.55,0.72,17
374,45,7.65,1.11,26,5.94,5.43,1.41,11
375,42,7.23,2.63,111,7.88,3.51,0.87,18
376,28,6.81,1.88,89,8.64,4.04,1.53,16
377,31,5.76,4.69,90,8.08,4.36,0.03,18
378,20,5.66,1.49,0,5.48,5.1,0.68,14
379,20,7.0,3.8,43,7.15,3.54,1.76,16
380,53,4.96,2.83,83,8.34,1.56,0.65,14
381,51,6.04,0.55,51,7.36,2.93,0.79,14
382,44,5.94,2.83,24,6.76,4.6,1.58,13
383,59,7.52,0.95,73,6.14,4.12,0.19,19
384,20,4.4,3.47,64,6.32,4.77,0.62,12
385,35,8.98,3.04,79,5.97,3.5,1.55,14
386,58,7.37,0.55,10,5.78,1.87,1.91,12
387,24,8.02,1.42,67,7.36,1.58,1.57,22
388,41,8.22,3.99,98,7.04,3.41,0.34,20
389,48,5.75,1.74,76,7.94,2.03,1.67,14
390,22,6.82,2.75,84,6.23,5.91,0.95,13
391,31,9.74,1.9,14,6.84,1.99,1.57,19
392,45,8.6,4.65,56,7.72,3.83,0.48,22
393,35,9.82,2.91,73,8.85,1.01,0.68,25
394,56,8.48,3.63,63,6.4,2.27,1.8,19
395,41,5.05,0.88,101,6.19,2.3,1.82,9
396,48,4.39,0.68,10,6.8,4.69,0.57,11
397,33,7.47,1.67,95,7.9,3.48,0.17,14
398,47,6.15,1.89,96,8.85,1.06,1.86,16
399,24,5.65,3.59,19,7.15,2.9,0.6,15
400,49,8.84,3.06,99,8.25,4.22,0.24,22
401,24,6.2,2.19,29,6.86,4.18,0.7,16
402,31,5.9,3.44,9,5.16,1.27,0.56,15
403,35,9.1,1.24,53,8.58,5.64,0.16,23
404,45,9.08,0.79,57,6.16,2.23,1.97,16
405,45,6.14,4.35,78,5.55,5.46,0.59,11
406,40,8.99,3.04,28,8.98,2.07,0.54,22
407,58,9.1,3.42,0,6.39,3.84,0.84,18
408,55,6.54,1.88,57,5.55,3.03,0.83,11
409,52,4.4,2.17,20,6.25,3.91,0.87,10
410,49,4.01,0.87,14,7.06,3.49,1.81,10
411,56,7.14,4.36,66,5.35,1.01,0.12,18
412,42,6.06,3.17,32,6.41,2.76,1.88,10
413,29,9.98,0.88,37,7.68,1.06,1.33,23
414,24,8.63,4.12,18,8.66,4.42,1.4,20
415,55,8.57,2.5,3,6.59,5.27,0.32,16
416,53,9.73,3.94,75,7.26,2.92,0.66,23
417,50,9.33,0.56,88,7.54,3.62,0.1,18
418,29,5.91,0.63,97,5.28,1.33,1.31,14
419,38,5.0,1.27,80,6.37,2.93,0.68,11
420,51,8.48,1.45,57,7.74,1.69,1.1,17
421,20,6.27,3.94,69,7.94,1.32,1.51,20
422,24,6.84,3.68,11,6.42,1.86,1.11,16
423,23,7.78,3.27,78,5.03,5.35,0.14,19
424,35,9.45,4.48,16,5.03,5.91,0.12,14
425,43,6.51,1.61,0,7.15,5.4,1.73,15
426,35,8.7,4.57,13,7.21,5.85,0.52,16
427,21,5.61,4.59,118,7.22,4.65,0.72,15
428,47,8.19,2.45,1,7.89,1.8,0.44,17
429,51,4.01,0.92,3,8.69,3.82,1.4,11
430,46,9.23,3.77,115,8.96,4.66,0.77,22
431,39,4.18,2.02,65,7.8,3.57,0.91,13
432,43,8.28,4.08,117,7.06,3.77,1.35,19
433,31,4.28,1.24,89,5.56,3.93,1.25,11
434,54,5.6,2.93,45,6.54,3.33,1.55,11
435,52,6.98,2.79,49,7.29,2.45,1.5,15
436,52,6.52,0.95,59,9.0,4.19,0.88,16
437,56,5.15,2.13,103,5.51,1.27,0.38,9
438,31,6.0,0.88,51,8.17,1.85,0.45,17
439,22,8.37,2.59,96,9.0,5.63,1.41,21
440,20,8.02,4.29,47,8.22,3.44,0.52,22
441,52,4.43,1.72,38,8.07,5.11,0.88,14
442,59,8.48,3.94,69,6.03,4.63,0.22,20
443,29,4.32,1.33,59,5.01,2.6,0.24,4
444,48,7.26,3.53,29,5.9,5.02,0.5,13
445,32,5.56,4.62,85,8.16,1.46,0.17,15
446,31,7.53,1.96,26,5.43,5.37,0.55,14
447,50,5.57,4.55,82,6.18,4.4,1.14,12
448,21,9.91,2.77,73,7.25,5.64,1.49,23
449,54,5.86,1.93,54,7.32,5.48,0.07,12
450,42,5.45,4.53,69,7.17,2.9,1.2,15
451,36,5.67,0.64,25,8.92,5.28,0.73,13
452,45,9.38,0.63,41,5.05,3.82,0.45,16
453,27,7.82,3.2,114,6.95,1.79,0.06,14
454,48,8.38,4.09,66,7.02,5.15,0.65,16
455,45,9.51,3.88,115,6.17,5.54,1.58,15
456,29,9.47,0.86,66,7.1,1.42,1.06,22
457,45,8.43,4.78,51,7.69,5.65,1.55,18
458,53,5.19,3.66,5,7.69,4.01,0.82,12
459,26,9.06,4.77,112,5.35,1.13,1.69,19
460,23,5.22,1.98,113,8.21,3.71,0.3,15
461,30,8.46,3.62,9,8.72,4.98,1.64,21
462,48,8.11,4.37,37,5.49,3.67,0.95,16
463,55,8.55,2.21,76,6.67,4.54,1.49,16
464,44,7.2,4.84,101,7.05,5.4,0.48,14
465,40,7.83,1.69,11,5.54,5.35,0.97,13
466,55,9.72,1.92,45,7.01,1.89,1.47,18
467,29,4.61,4.64,48,5.83,3.14,0.97,13
468,56,5.85,4.86,117,8.74,1.56,0.92,18
469,28,7.67,1.78,90,6.79,3.98,1.62,18
470,43,9.78,1.11,71,8.98,5.77,0.32,21
471,54,4.57,3.92,62,5.19,1.91,0.95,8
472,54,4.14,4.68,68,5.51,3.02,1.64,9
473,55,4.33,3.2,99,6.77,5.77,1.69,9
474,37,4.31,3.36,101,8.5,4.75,0.24,11
475,58,9.45,3.93,42,7.22,1.36,1.7,20
476,51,8.33,1.19,93,7.93,3.14,0.02,15
477,43,8.06,4.88,59,6.69,5.94,1.71,14
478,42,7.14,2.14,100,5.16,3.27,0.53,14
479,51,8.69,3.33,28,7.59,4.15,1.16,21
480,56,4.93,2.61,85,7.54,4.5,0.02,12
481,31,6.35,2.61,77,5.29,4.32,1.46,9
482,32,6.94,3.66,73,5.68,3.59,0.86,15
483,42,4.66,4.98,10,6.9,1.66,1.69,12
484,44,6.52,3.47,34,6.79,4.54,1.11,12
485,54,5.9,4.07,22,8.01,5.67,1.67,13
486,49,4.21,0.62,71,6.55,5.71,1.22,8
487,36,4.82,4.15,20,7.65,3.97,1.49,14
488,39,8.58,1.85,36,7.82,3.46,1.5,16
489,44,4.11,1.07,27,7.58,2.67,0.49,10
490,41,9.61,1.01,115,7.38,1.52,1.15,22
491,32,4.52,3.56,94,8.22,5.42,1.75,13
492,38,8.8,4.99,57,7.63,1.69,1.76,19
493,55,9.39,3.5,52,8.34,2.44,0.77,23
494,31,9.65,1.68,27,7.55,4.7,0.65,20
